surah,ayah,source_slug,source_title,latin_iast,latin_ascii
1,5,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,āmarā āpanārai ivādāta karachi evaṃ āpanārai nikaṭa sāhāyya cācchi.,amara apanarai ivadata karachi evam apanarai nikata sahayya cacchi.
1,5,taisirul_quran,Taisirul Quran Bengali translation,āmarā kevala tomārai ‘ivādāta kari evaṃ kevalamātra tomārai sāhāyya prārthanā kari.,amara kevala tomarai ‘ivadata kari evam kevalamatra tomarai sahayya prarthana kari.
1,5,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"āmarā śudhu āpanārai ‘ivādāta kari, evaṃ śudhu āpanārai sāhāyya prārthanā kari,","amara sudhu apanarai ‘ivadata kari, evam sudhu apanarai sahayya prarthana kari,"
1,5,fathul_majid,Fathul Majid Bengali translation,āmarā śudhu āpanārai ivādata kari evaṃ āpanārai nikaṭa sāhāyya prārthanā kari.,amara sudhu apanarai ivadata kari evam apanarai nikata sahayya prarthana kari.
1,6,rawai_al_bayan,Rawai Al Bayan Bengali translation,āmāderake sarala patha dekhāna. pathera hidāẏāta dina.,amaderake sarala patha dekhana. pathera hidayata dina.
1,6,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,āmāderake sarala saṭhika patha pradarśana karuna.,amaderake sarala sathika patha pradarsana karuna.
1,6,taisirul_quran,Taisirul Quran Bengali translation,āmāderake sarala saṭhika patha pradarśana kara o tāra prati aṭuṭa thākāra tāophīka dāna kara.,amaderake sarala sathika patha pradarsana kara o tara prati atuta thakara taophika dana kara.
1,6,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,āmāderake sarala pathera hidāẏāta dina,amaderake sarala pathera hidayata dina
1,6,fathul_majid,Fathul Majid Bengali translation,āmāderake sarala saṭhika patha pradarśana karuna.,amaderake sarala sathika patha pradarsana karuna.
1,7,rawai_al_bayan,Rawai Al Bayan Bengali translation,"tādera patha, yādera upara āpani anugraha karechena. yāderake niẏāmata diẏechena.yādera upara (āpanāra) krodha āpatita haẏani evaṃ yārā pathabhraṣṭao naẏa.","tadera patha, yadera upara apani anugraha karechena. yaderake niyamata diyechena.yadera upara (apanara) krodha apatita hayani evam yara pathabhrastao naya."
1,7,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,"tādera patha, yādera prati āpani anugraha karechena. tādera pathe naẏa, yādera prati āpanāra gayava varṣita haẏeche, tādera pathao naẏa yārā pathabhraṣṭa haẏeche. āmīna!!","tadera patha, yadera prati apani anugraha karechena. tadera pathe naya, yadera prati apanara gayava varsita hayeche, tadera pathao naya yara pathabhrasta hayeche. amina!!"
1,7,taisirul_quran,Taisirul Quran Bengali translation,"tādera patha, yādera prati tumi anugraha karecha. tādera patha, yārā gayavaprāpta (iẏāhūdī) o pathabhraṣṭa (khrisṭāna) naẏa.","tadera patha, yadera prati tumi anugraha karecha. tadera patha, yara gayavaprapta (iyahudi) o pathabhrasta (khristana) naya."
1,7,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"tādera patha, yāderake āpani ni‘āmata diẏechena, yādera upara āpanāra krodha āpatita haẏani evaṃ yārā pathabhraṣṭao naẏa","tadera patha, yaderake apani ni‘amata diyechena, yadera upara apanara krodha apatita hayani evam yara pathabhrastao naya"
1,7,fathul_majid,Fathul Majid Bengali translation,"tādera patha, yādera prati āpani anugraha karechena; tādera patha naẏa yārā gayava prāpta evaṃ tādera pathao naẏa yārā pathabhraṣṭa.","tadera patha, yadera prati apani anugraha karechena; tadera patha naya yara gayava prapta evam tadera pathao naya yara pathabhrasta."
2,1,rawai_al_bayan,Rawai Al Bayan Bengali translation,ālipha-lāma-mīma.* *e akṣaragulo kuraānera ekaṭi mu‘jiyā- yāra prakṛta artha ekamātra āllāhai jānena.,alipha-lama-mima.* *e aksaragulo kuraanera ekati mu‘jiya- yara prakrta artha ekamatra allahai janena.
2,1,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,ālipha-lāma-mīma.,alipha-lama-mima.
2,1,taisirul_quran,Taisirul Quran Bengali translation,"ālipha, lāma, mīma.","alipha, lama, mima."
2,1,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,". ālipha- lāma- mima,",". alipha- lama- mima,"
2,1,fathul_majid,Fathul Majid Bengali translation,"ālipha, lā-ma, mī-ma.","alipha, la-ma, mi-ma."
2,2,rawai_al_bayan,Rawai Al Bayan Bengali translation,"ei sei kitāva, yāte kona sandeha nei, muttākīdera janya hidāẏāta.","ei sei kitava, yate kona sandeha nei, muttakidera janya hidayata."
2,2,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,ihā ai grantha yāra madhye kona sandeha-saṃśaẏera avakāśa nei; dharma-bhīrudera janya e grantha pathanirdeśa.,iha ai grantha yara madhye kona sandeha-samsayera avakasa nei; dharma-bhirudera janya e grantha pathanirdesa.
2,2,taisirul_quran,Taisirul Quran Bengali translation,"eṭā ai (mahāna) kitāva yāte kona sandeha nei, muttākīdera janya patha nirdeśa.","eta ai (mahana) kitava yate kona sandeha nei, muttakidera janya patha nirdesa."
2,2,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,". eṭā se kitāva yāte kono sandeha nei, muttākīdera janya hedāẏeta,",". eta se kitava yate kono sandeha nei, muttakidera janya hedayeta,"
2,2,fathul_majid,Fathul Majid Bengali translation,eṭā ai grantha yāra madhye konarūpa sandeha nei; muttākvīdera janya hidāẏāta vā muktipathera diśārī.,eta ai grantha yara madhye konarupa sandeha nei; muttakvidera janya hidayata va muktipathera disari.
2,3,rawai_al_bayan,Rawai Al Bayan Bengali translation,"gāẏevera prati īmāna āne, sālāta kāẏema kare evaṃ āmi tāderake ye riyka diẏechi tā theke vyaẏa kare.","gayevera prati imana ane, salata kayema kare evam ami taderake ye riyka diyechi ta theke vyaya kare."
2,3,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,yārā adṛśya viṣaẏagulite viśvāsa sthāpana kare evaṃ sālāta pratiṣṭhā kare evaṃ āmi tāderake ye upajīvikā pradāna karechi tā hate dāna kare thāke .,yara adrsya visayagulite visvasa sthapana kare evam salata pratistha kare evam ami taderake ye upajivika pradana karechi ta hate dana kare thake .
2,3,taisirul_quran,Taisirul Quran Bengali translation,"yārā gāẏavera prati īmāna āne, nāmāya kāẏima kare evaṃ āmi ye jīvanopakaraṇa tāderake diẏechi tā theke tārā vyaẏa kare.","yara gayavera prati imana ane, namaya kayima kare evam ami ye jivanopakarana taderake diyechi ta theke tara vyaya kare."
2,3,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"yārā gāẏevera prati īmāna āne, sālāta kāẏema kare evaṃ tāderake āmarā yā dāna karechi tā theke vyaẏa kare.","yara gayevera prati imana ane, salata kayema kare evam taderake amara ya dana karechi ta theke vyaya kare."
2,3,fathul_majid,Fathul Majid Bengali translation,"yārā adṛśya viṣaẏagulote viśvāsa sthāpana kare, sālāta pratiṣṭhā kare evaṃ āmi tāderake ye jīvanopakaraṇa dāna karechi tā hate vyaẏa kare.","yara adrsya visayagulote visvasa sthapana kare, salata pratistha kare evam ami taderake ye jivanopakarana dana karechi ta hate vyaya kare."
2,4,rawai_al_bayan,Rawai Al Bayan Bengali translation,"āra yārā īmāna āne tāte, yā tomāra prati nāyila karā haẏeche evaṃ yā tomāra pūrve nāyila karā haẏeche. āra ākhirātera prati tārā iẏākīna rākhe.","ara yara imana ane tate, ya tomara prati nayila kara hayeche evam ya tomara purve nayila kara hayeche. ara akhiratera prati tara iyakina rakhe."
2,4,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,"evaṃ tomāra prati yā avatīrṇa haẏeche o tomāra pūrve yā avatīrṇa haẏechila, yārā tadviṣaẏe viśvāsa sthāpana kare evaṃ ākhirātera prati yārā dṛr̤ha viśvāsa rākhe.","evam tomara prati ya avatirna hayeche o tomara purve ya avatirna hayechila, yara tadvisaye visvasa sthapana kare evam akhiratera prati yara drrha visvasa rakhe."
2,4,taisirul_quran,Taisirul Quran Bengali translation,āra tomāra prati yā nāyila haẏeche o tomāra pūrve yā nāyila haẏeche tāte tārā viśvāsa sthāpana kare evaṃ parakālera pratio tārā niścita viśvāsī.,ara tomara prati ya nayila hayeche o tomara purve ya nayila hayeche tate tara visvasa sthapana kare evam parakalera pratio tara niscita visvasi.
2,4,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"āra yārā īmāna āne tāte yā āpanāra upara nāyila karā haẏeche evaṃ yā āpanāra pūrve nāyila karā haẏeche, āra yārā ākherāte niścita viśvāsī.","ara yara imana ane tate ya apanara upara nayila kara hayeche evam ya apanara purve nayila kara hayeche, ara yara akherate niscita visvasi."
2,4,fathul_majid,Fathul Majid Bengali translation,āra yārā tomāra prati yā avatīrṇa karā haẏeche o tomāra pūrve yā avatīrṇa karā haẏechila tāte īmāna āne evaṃ tārā parakālera prati dṛr̤ha viśvāsa rākhe.,ara yara tomara prati ya avatirna kara hayeche o tomara purve ya avatirna kara hayechila tate imana ane evam tara parakalera prati drrha visvasa rakhe.
2,5,rawai_al_bayan,Rawai Al Bayan Bengali translation,tārā tādera ravera pakṣa theke hidāẏātera upara raẏeche evaṃ tārāi saphalakāma.,tara tadera ravera paksa theke hidayatera upara rayeche evam tarai saphalakama.
2,5,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,erāi tādera ravera pakṣa hate prāpta hidāẏātera upara pratiṣṭhita raẏeche evaṃ erāi pūrṇa saphalakāma.,erai tadera ravera paksa hate prapta hidayatera upara pratisthita rayeche evam erai purna saphalakama.
2,5,taisirul_quran,Taisirul Quran Bengali translation,"tārāi tādera pratipālakera hidāẏātera upara pratiṣṭhita āche, āra tārāi saphalakāma.","tarai tadera pratipalakera hidayatera upara pratisthita ache, ara tarai saphalakama."
2,5,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,tārāi tādera ravera nirdeśita hidāẏātera upara raẏeche evaṃ tārāi saphalakāma.,tarai tadera ravera nirdesita hidayatera upara rayeche evam tarai saphalakama.
2,5,fathul_majid,Fathul Majid Bengali translation,erāi tādera ravera pakṣa hate prāpta hidāẏātera opara pratiṣṭhita raẏeche evaṃ erāi saphalakāma.,erai tadera ravera paksa hate prapta hidayatera opara pratisthita rayeche evam erai saphalakama.
2,6,rawai_al_bayan,Rawai Al Bayan Bengali translation,"niścaẏa yārā kupharī kareche, tumi tāderake satarka kara kiṃvā nā kara, ubhaẏai tādera janya varāvara, tārā īmāna ānave nā.","niscaya yara kuphari kareche, tumi taderake satarka kara kimva na kara, ubhayai tadera janya varavara, tara imana anave na."
2,6,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,"niścaẏai yārā aviśvāsa karache tādera janya ubhaẏai samāna; tumi tāderake bhaẏa pradarśana kara vā nā kara, tārā īmāna ānavenā.","niscayai yara avisvasa karache tadera janya ubhayai samana; tumi taderake bhaya pradarsana kara va na kara, tara imana anavena."
2,6,taisirul_quran,Taisirul Quran Bengali translation,"niścaẏa yārā kupharī kareche tāderake tumi bhaẏa dekhāo āra nā dekhāo ubhaẏaṭāi tādera janya samāna, tārā īmāna ānave nā.","niscaya yara kuphari kareche taderake tumi bhaya dekhao ara na dekhao ubhayatai tadera janya samana, tara imana anave na."
2,6,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"yārā kupharī kareche āpani tāderake satarka karuna vā nā karuna , tārā īmāna ānave nā.","yara kuphari kareche apani taderake satarka karuna va na karuna , tara imana anave na."
2,6,fathul_majid,Fathul Majid Bengali translation,"niścaẏa yārā kupharī kareche tāderake tumi satarka kara vā nā kara- ubhaẏaṭā tādera janya samāna, tārā īmāna ānave nā.","niscaya yara kuphari kareche taderake tumi satarka kara va na kara- ubhayata tadera janya samana, tara imana anave na."
2,7,rawai_al_bayan,Rawai Al Bayan Bengali translation,āllāha tādera antare evaṃ tādera kāne mohara lāgiẏe diẏechena evaṃ tādera cokhasamūhe raẏeche pardā. āra tādera janya raẏeche mahāāyāva.,allaha tadera antare evam tadera kane mohara lagiye diyechena evam tadera cokhasamuhe rayeche parda. ara tadera janya rayeche mahaayava.
2,7,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,āllāha tādera antarasamūhera upara o tādera karṇasamūhera upara moharāṃkita kare diẏechena evaṃ tādera cakṣusamūhera upara āvaraṇa par̤e āche evaṃ tādera janya raẏeche bhaẏānaka śāsti.,allaha tadera antarasamuhera upara o tadera karnasamuhera upara moharamkita kare diyechena evam tadera caksusamuhera upara avarana pare ache evam tadera janya rayeche bhayanaka sasti.
2,7,taisirul_quran,Taisirul Quran Bengali translation,"āllāha tādera antara o kānera upara mohara kare diẏechena, āra tādera cokhe āche āvaraṇa āra tādera janya āche mahā śāsti.","allaha tadera antara o kanera upara mohara kare diyechena, ara tadera cokhe ache avarana ara tadera janya ache maha sasti."
2,7,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"āllāh tādera hṛdaẏasamūha o tādera śravaṇaśaktira upara mohara kare diẏechena, evaṃ tādera dṛṣṭira upara raẏeche āvaraṇa. āra tādera janya raẏeche mahāśāsti.","allah tadera hrdayasamuha o tadera sravanasaktira upara mohara kare diyechena, evam tadera drstira upara rayeche avarana. ara tadera janya rayeche mahasasti."
2,7,fathul_majid,Fathul Majid Bengali translation,"āllāha tādera antarasamūhera opara o tādera śravaṇaśaktira opara moharāṅkita kare diẏechena evaṃ tādera dṛṣṭiśaktira opara āvaraṇa par̤e āche, āra tādera janya raẏeche gurutara śāsti.","allaha tadera antarasamuhera opara o tadera sravanasaktira opara moharankita kare diyechena evam tadera drstisaktira opara avarana pare ache, ara tadera janya rayeche gurutara sasti."
2,8,rawai_al_bayan,Rawai Al Bayan Bengali translation,"āra mānuṣera madhye kichu emana āche, yārā vale, ‘āmarā īmāna enechi āllāhara prati evaṃ śeṣa dinera prati’, athaca tārā mumina naẏa.","ara manusera madhye kichu emana ache, yara vale, ‘amara imana enechi allahara prati evam sesa dinera prati’, athaca tara mumina naya."
2,8,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,"āra mānuṣera madhye emana loka āche yārā vale, āmarā āllāhara upara evaṃ śeṣa dinera upara īmāna enechi, athaca tārā moṭei īmānadāra naẏa.","ara manusera madhye emana loka ache yara vale, amara allahara upara evam sesa dinera upara imana enechi, athaca tara motei imanadara naya."
2,8,taisirul_quran,Taisirul Quran Bengali translation,"mānuṣera madhye emana loka āche yārā vale, ‘‘āmarā āllāhara prati evaṃ ākherātera dinera prati īmāna enechi’’ kintu prakṛtapakṣe tārā mu’mina naẏa.","manusera madhye emana loka ache yara vale, ‘‘amara allahara prati evam akheratera dinera prati imana enechi’’ kintu prakrtapakse tara mu’mina naya."
2,8,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"āra mānuṣera madhye emana lokao raẏeche yārā vale, ‘āmarā āllāh o śeṣa divase īmāna enechi’, athaca tārā mumina naẏa.","ara manusera madhye emana lokao rayeche yara vale, ‘amara allah o sesa divase imana enechi’, athaca tara mumina naya."
2,8,fathul_majid,Fathul Majid Bengali translation,āra mānuṣera madhye emana loka āche yārā vale- āmarā āllāhara prati evaṃ parakālera opara īmāna enechi; athaca tārā moṭei īmānadāra naẏa.,ara manusera madhye emana loka ache yara vale- amara allahara prati evam parakalera opara imana enechi; athaca tara motei imanadara naya.
2,9,rawai_al_bayan,Rawai Al Bayan Bengali translation,tārā āllāhake evaṃ yārā īmāna eneche tāderake dho~kā dicche. athaca tārā nijaderakei dho~kā dicche evaṃ tārā tā anudhāvana kare nā.,tara allahake evam yara imana eneche taderake dho~ka dicche. athaca tara nijaderakei dho~ka dicche evam tara ta anudhavana kare na.
2,9,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,"tārā āllāha o mu’minadera saṅge dho~kāvājī kare. prakṛta pakṣe tārā nijedera vyatīta āra kārao sāthe dho~kāvājī karenā, athaca tārā e samvandhe anubhava karate pārenā.","tara allaha o mu’minadera sange dho~kavaji kare. prakrta pakse tara nijedera vyatita ara karao sathe dho~kavaji karena, athaca tara e samvandhe anubhava karate parena."
2,9,taisirul_quran,Taisirul Quran Bengali translation,"tārā āllāha o mu’minaderake pratārita kare, āsale tārā nijederake chār̤ā anya kāuke pratārita kare nā, kintu eṭā tārā upalavdhi karate pāre nā.","tara allaha o mu’minaderake pratarita kare, asale tara nijederake chara anya kauke pratarita kare na, kintu eta tara upalavdhi karate pare na."
2,9,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"āllāh evaṃ muminaderake tārā pratārita kare. vastutaḥ tārā nijederakei nijerā pratārita karache, athaca tārā tā vujhe nā.","allah evam muminaderake tara pratarita kare. vastutah tara nijederakei nijera pratarita karache, athaca tara ta vujhe na."
2,9,fathul_majid,Fathul Majid Bengali translation,tārā āllāha o mu’minadera sāthe pratāraṇā kare. āsale tārā nijedera vyatīta āra kārao sāthe pratāraṇā kare nā; athaca tārā eṭā anubhava karate pāre nā.,tara allaha o mu’minadera sathe pratarana kare. asale tara nijedera vyatita ara karao sathe pratarana kare na; athaca tara eta anubhava karate pare na.
2,10,rawai_al_bayan,Rawai Al Bayan Bengali translation,tādera antarasamūhe raẏeche vyādhi. sutarāṃ āllāha tādera vyādhi vār̤iẏe diẏechena. āra tādera janya raẏeche yantraṇādāẏaka āyāva. kāraṇa tārā mithyā valata.,tadera antarasamuhe rayeche vyadhi. sutaram allaha tadera vyadhi variye diyechena. ara tadera janya rayeche yantranadayaka ayava. karana tara mithya valata.
2,10,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,"tādera antare pīr̤ā raẏeche, paranta āllāha tādera pīr̤ā ārao vār̤iẏe diẏechena evaṃ tādera janya gurutara śāsti raẏeche yehetu tārā asatya valata.","tadera antare pira rayeche, paranta allaha tadera pira arao variye diyechena evam tadera janya gurutara sasti rayeche yehetu tara asatya valata."
2,10,taisirul_quran,Taisirul Quran Bengali translation,"tādera antare āche vyādhi, ataḥpara āllāha tādera vyādhi vār̤iẏe diẏechena āra tādera janya raẏeche yantraṇādāẏaka śāsti, kāraṇa tārā mithyevādī.","tadera antare ache vyadhi, atahpara allaha tadera vyadhi variye diyechena ara tadera janya rayeche yantranadayaka sasti, karana tara mithyevadi."
2,10,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"tādera antarasamūhe raẏeche vyādhi. ataḥpara āllāh tādera vyadhi ārao vār̤iẏe diẏechena. āra tādera janya raẏeche kaṣṭadāẏaka śāsti, kāraṇa tārā mithyāvādī.","tadera antarasamuhe rayeche vyadhi. atahpara allah tadera vyadhi arao variye diyechena. ara tadera janya rayeche kastadayaka sasti, karana tara mithyavadi."
2,10,fathul_majid,Fathul Majid Bengali translation,"tādera antare roga raẏeche, oparantu āllāha tādera roga ārao vār̤iẏe diẏechena evaṃ tādera janya yantraṇādāẏaka śāsti raẏeche yehetu tārā mithyā valato.","tadera antare roga rayeche, oparantu allaha tadera roga arao variye diyechena evam tadera janya yantranadayaka sasti rayeche yehetu tara mithya valato."
2,11,rawai_al_bayan,Rawai Al Bayan Bengali translation,"āra yakhana tāderake valā haẏa, ‘tomarā yamīne phāsāda karo nā’, tārā vale, ‘āmarā to kevala saṃśodhanakārī’.","ara yakhana taderake vala haya, ‘tomara yamine phasada karo na’, tara vale, ‘amara to kevala samsodhanakari’."
2,11,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,evaṃ yakhana tāderake valā haẏaḥ tomarā pṛthivīte aśānti sṛṣṭi karanā takhana tārā valeḥ āmarāto śudhui śānti sthāpanakārī.,evam yakhana taderake vala hayah tomara prthivite asanti srsti karana takhana tara valeh amarato sudhui santi sthapanakari.
2,11,taisirul_quran,Taisirul Quran Bengali translation,"tāderake yakhana valā haẏa, ‘pṛthivīte phāsāda sṛṣṭi karo nā’; tārā vale, ‘āmarā to saṃśodhanakārī’.","taderake yakhana vala haya, ‘prthivite phasada srsti karo na’; tara vale, ‘amara to samsodhanakari’."
2,11,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"āra yakhana tāderake valā haẏa, ‘tomarā yamīne phāsāda sṛṣṭi karo nā’, tārā vale, ‘āmarā to kevala saṃśodhanakārī’.","ara yakhana taderake vala haya, ‘tomara yamine phasada srsti karo na’, tara vale, ‘amara to kevala samsodhanakari’."
2,11,fathul_majid,Fathul Majid Bengali translation,"āra yakhana tāderake valā haẏa- tomarā pṛthivīte phāsāda sṛṣṭi kara nā takhana tārā vale, āmarā to śudhu saṃśodhanakārī.","ara yakhana taderake vala haya- tomara prthivite phasada srsti kara na takhana tara vale, amara to sudhu samsodhanakari."
2,12,rawai_al_bayan,Rawai Al Bayan Bengali translation,"jene rākha, niścaẏa tārā phāsādakārī; kintu tārā vujhe nā.","jene rakha, niscaya tara phasadakari; kintu tara vujhe na."
2,12,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,"sāvadhāna! niścaẏai tārāi aśānti sṛṣṭikārī, kintu tārā vujhenā.","savadhana! niscayai tarai asanti srstikari, kintu tara vujhena."
2,12,taisirul_quran,Taisirul Quran Bengali translation,"mūlataḥ tārāi aśānti sṛṣṭikārī, kintu tārā tā vujhate pāre nā.","mulatah tarai asanti srstikari, kintu tara ta vujhate pare na."
2,12,dr_abu_bakr_muhammad_zakaria,Dr. Abu Bakr Muhammad Zakaria Bengali translation,"sāvadhāna ! erāi phāsāda sṛṣṭikārī, kintu tārā tā vujhe nā.","savadhana ! erai phasada srstikari, kintu tara ta vujhe na."
2,12,fathul_majid,Fathul Majid Bengali translation,sāvadhāna! tārāi phāsāda sṛṣṭikārī; kintu tārā vojhe nā.,savadhana! tarai phasada srstikari; kintu tara vojhe na.
2,13,rawai_al_bayan,Rawai Al Bayan Bengali translation,"āra yakhana tāderake valā haẏa, ‘tomarā īmāna āna yemana lokerā īmāna eneche’, tārā vale, ‘āmarā ki īmāna ānava yemana nirvodharā īmāna eneche’? jene rākha, niścaẏa tārāi nirvodha; kintu tārā jāne nā.","ara yakhana taderake vala haya, ‘tomara imana ana yemana lokera imana eneche’, tara vale, ‘amara ki imana anava yemana nirvodhara imana eneche’y jene rakha, niscaya tarai nirvodha; kintu tara jane na."
2,13,sheikh_mujibur_rahman,Sheikh Mujibur Rahman Bengali translation,"evaṃ yakhana tāderake valā haẏaḥ loke yerūpa viśvāsa kareche tomarāo tadrupa viśvāsa sthāpana kara, takhana tārā valeḥ nirvodherā yerūpa viśvāsa kareche āmarāo ki seirūpa viśvāsa karava? sāvadhāna! niścaẏai tārāi nirvodha, kintu tā tārā avagata naẏa.","evam yakhana taderake vala hayah loke yerupa visvasa kareche tomarao tadrupa visvasa sthapana kara, takhana tara valeh nirvodhera yerupa visvasa kareche amarao ki seirupa visvasa karavay savadhana! niscayai tarai nirvodha, kintu ta tara avagata naya."
2,13,taisirul_quran,Taisirul Quran Bengali translation,"yakhana tāderake valā haẏa, ye sava loka īmāna eneche tādera mato tomarāo īmāna āna, tārā vale, ‘nirvodherā yemana īmāna eneche, āmarāo ki temani īmāna ānava’? āsale tārāi nirvodha, kintu tārā tā’ vujhate pāre nā.","yakhana taderake vala haya, ye sava loka imana eneche tadera mato tomarao imana ana, tara vale, ‘nirvodhera yemana imana eneche, amarao ki temani imana anava’y asale tarai nirvodha, kintu tara ta’ vujhate pare na."
