surah,ayah,latin_iast,latin_ascii
2,8,"mānuṣera madhye emana loka āche yārā vale, ‘‘āmarā āllāhara prati evaṃ ākherātera dinera prati īmāna enechi’’ kintu prakṛtapakṣe tārā mu’mina naẏa.","manusera madhye emana loka ache yara vale, ‘‘amara allahara prati evam akheratera dinera prati imana enechi’’ kintu prakrtapakse tara mu’mina naya."
2,9,"tārā āllāha o mu’minaderake pratārita kare, āsale tārā nijederake chār̤ā anya kāuke pratārita kare nā, kintu eṭā tārā upalavdhi karate pāre nā.","tara allaha o mu’minaderake pratarita kare, asale tara nijederake chara anya kauke pratarita kare na, kintu eta tara upalavdhi karate pare na."
2,10,"tādera antare āche vyādhi, ataḥpara āllāha tādera vyādhi vār̤iẏe diẏechena āra tādera janya raẏeche yantraṇādāẏaka śāsti, kāraṇa tārā mithyevādī.","tadera antare ache vyadhi, atahpara allaha tadera vyadhi variye diyechena ara tadera janya rayeche yantranadayaka sasti, karana tara mithyevadi."
2,11,"tāderake yakhana valā haẏa, ‘pṛthivīte phāsāda sṛṣṭi karo nā’; tārā vale, ‘āmarā to saṃśodhanakārī’.","taderake yakhana vala haya, ‘prthivite phasada srsti karo na’; tara vale, ‘amara to samsodhanakari’."
2,12,"mūlataḥ tārāi aśānti sṛṣṭikārī, kintu tārā tā vujhate pāre nā.","mulatah tarai asanti srstikari, kintu tara ta vujhate pare na."
2,13,"yakhana tāderake valā haẏa, ye sava loka īmāna eneche tādera mato tomarāo īmāna āna, tārā vale, ‘nirvodherā yemana īmāna eneche, āmarāo ki temani īmāna ānava’? āsale tārāi nirvodha, kintu tārā tā’ vujhate pāre nā.","yakhana taderake vala haya, ye sava loka imana eneche tadera mato tomarao imana ana, tara vale, ‘nirvodhera yemana imana eneche, amarao ki temani imana anava’y asale tarai nirvodha, kintu tara ta’ vujhate pare na."
2,14,"yakhana tārā mu’minadera saṃsparśe āse takhana vale, ‘āmarā īmāna enechi’; āra yakhana tārā nibhṛte tādera śaẏatvānadera (sardāradera) saṅge milita haẏa takhana vale, ‘āmarā tomādera sāthei āchi, āmarā śudhu tādera saṅge ṭhāṭṭā-tāmāśā kari mātra’.","yakhana tara mu’minadera samsparse ase takhana vale, ‘amara imana enechi’; ara yakhana tara nibhrte tadera sayatvanadera (sardaradera) sange milita haya takhana vale, ‘amara tomadera sathei achi, amara sudhu tadera sange thatta-tamasa kari matra’."
2,15,āllāha tādera saṅge (javāve) upahāsa karena evaṃ tādera avādhyatāẏa vibhrāntera mata tāderake ghure marāra avakāśa dena.,allaha tadera sange (javave) upahasa karena evam tadera avadhyataya vibhrantera mata taderake ghure marara avakasa dena.
2,16,"tārāi hidāẏātera vinimaẏe gomarāhī kraẏa kareche, kintu tāte tādera vyavasā lābhajanaka haẏani, āra tārā satpathaprāptao naẏa.","tarai hidayatera vinimaye gomarahi kraya kareche, kintu tate tadera vyavasa labhajanaka hayani, ara tara satpathapraptao naya."
2,17,"tādera udāharaṇa, yemana eka vyakti āguna jvālālo, tā yakhana tāra cāradika ālokita karala āllāha takhana tādera jyoti apasāraṇa kare dilena evaṃ tāderake emana ghana andhakāre phele dilena ye, tārā kichui dekhate pāẏa nā.","tadera udaharana, yemana eka vyakti aguna jvalalo, ta yakhana tara caradika alokita karala allaha takhana tadera jyoti apasarana kare dilena evam taderake emana ghana andhakare phele dilena ye, tara kichui dekhate paya na."
2,18,"tārā vadhira, mūka, andha; kājei tārā (hidāẏātera dike) phire āsave nā.","tara vadhira, muka, andha; kajei tara (hidayatera dike) phire asave na."
2,19,"athavā yemana ākāśera varṣaṇamukhara megha, yāte āche gār̤ha andhakāra, vajradhvani o vidyut camaka, vajradhvanite mṛtyu bhaẏe tārā tādera kāne āṅgula ḍhukiẏe deẏa. āllāha kāpheraderake pariveṣṭana kare āchena.","athava yemana akasera varsanamukhara megha, yate ache garha andhakara, vajradhvani o vidyut camaka, vajradhvanite mrtyu bhaye tara tadera kane angula dhukiye deya. allaha kapheraderake parivestana kare achena."
2,20,"vidyutcamaka tādera dṛṣṭiśakti prāẏa ker̤e neẏa, yakhanai vidyutcamaka tādera sāmane prakāśita haẏa, takhanai tārā patha calate thāke evaṃ yakhana tādera upara andhakāra cheẏe yāẏa, takhana tārā thamake dā~r̤āẏa, āllāha icche karale tādera śravaṇa o dṛṣṭi śakti haraṇa karate pāratena, āllāha sakala viṣaẏe sarvaśaktimāna.","vidyutcamaka tadera drstisakti praya kere neya, yakhanai vidyutcamaka tadera samane prakasita haya, takhanai tara patha calate thake evam yakhana tadera upara andhakara cheye yaya, takhana tara thamake da~raya, allaha icche karale tadera sravana o drsti sakti harana karate paratena, allaha sakala visaye sarvasaktimana."
2,21,"he mānuṣa! ‘tomarā tomādera sei pratipālakera ivādāta kara yini tomāderake o tomādera pūrvavartīderake sṛṣṭi karechena, yāte tomarā muttākī (paraheyagāra) hate pāra’.","he manusa! ‘tomara tomadera sei pratipalakera ivadata kara yini tomaderake o tomadera purvavartiderake srsti karechena, yate tomara muttaki (paraheyagara) hate para’."
2,22,"yini tomādera janya pṛthivīke vichānā o ākāśake chāda karechena evaṃ ākāśa hate pāni varṣaṇa ka’re tadvārā tomādera jīvikāra janya phalamūla utpādana karena, kājei jene vujhe kāukeo āllāhara samakakṣa dā~r̤a karo nā.","yini tomadera janya prthivike vichana o akasake chada karechena evam akasa hate pani varsana ka’re tadvara tomadera jivikara janya phalamula utpadana karena, kajei jene vujhe kaukeo allahara samakaksa da~ra karo na."
2,23,"āmi āmāra vāndāhara prati yā nāyila karechi tāte tomādera kona sandeha thākale tomarā tāra mata kona sūrāha ene dāo āra tomarā yadi satyavādī hao, tave āllāha chār̤ā tomādera sakala sāhāyyakārīke āhavāna kara.","ami amara vandahara prati ya nayila karechi tate tomadera kona sandeha thakale tomara tara mata kona suraha ene dao ara tomara yadi satyavadi hao, tave allaha chara tomadera sakala sahayyakarike ahavana kara."
2,24,"yadi tomarā nā pāra evaṃ kakṣano pāraveo nā, tāhale sei āgunake bhaẏa kara, yāra indhana have mānuṣa evaṃ pāthara, yā prastuta raẏeche kāpheradera janya.","yadi tomara na para evam kaksano paraveo na, tahale sei agunake bhaya kara, yara indhana have manusa evam pathara, ya prastuta rayeche kapheradera janya."
2,25,"yārā īmāna āne o satkarma kare tāderake susaṃvāda dāo ye, tādera janya āche jānnāta, yāra nimnadeśe nadīsamūha pravāhita. tāderake yakhanai phalamūla khete deẏā have, takhanai tārā valave, āmāderake pūrve jīvikā hiseve yā deẏā hato, eto tārai mato. ekai rakama phala tāderake deẏā have evaṃ sekhāne raẏeche tādera janya pavitra saṅgiṇī, tārā sekhāne cirasthāẏī have.","yara imana ane o satkarma kare taderake susamvada dao ye, tadera janya ache jannata, yara nimnadese nadisamuha pravahita. taderake yakhanai phalamula khete deya have, takhanai tara valave, amaderake purve jivika hiseve ya deya hato, eto tarai mato. ekai rakama phala taderake deya have evam sekhane rayeche tadera janya pavitra sangini, tara sekhane cirasthayi have."
2,26,"niścaẏa āllāhato maśā athavā tāra ceẏeo kṣudra kona vastura udāharaṇa dite lajjāvodha karena nā; ataeva yārā īmānadāra tārā jāne ye, e satya tādera pratipālakera nikaṭa theke eseche, kintu yārā aviśvāsī tārā vale ye, āllāha kī uddeśye e udāharaṇa peśa karechena? (āsala vyāpāra hala) tini era dvārā anekakei vibhrānta karena, āvāra anekakei satpathe paricālita karena. vastutaḥ tini phāsikadera chār̤ā āra kāukeo vibhrānta karena nā.","niscaya allahato masa athava tara ceyeo ksudra kona vastura udaharana dite lajjavodha karena na; ataeva yara imanadara tara jane ye, e satya tadera pratipalakera nikata theke eseche, kintu yara avisvasi tara vale ye, allaha ki uddesye e udaharana pesa karechenay (asala vyapara hala) tini era dvara anekakei vibhranta karena, avara anekakei satpathe paricalita karena. vastutah tini phasikadera chara ara kaukeo vibhranta karena na."
2,27,"yārā āllāhara saṅge sudṛr̤ha aṅgīkāra karāra para tā bhaṅga kare evaṃ ye samparka akṣuṇṇa rākhāra nirdeśa āllāha karechena, tā chinna kare evaṃ pṛthivīte aśānti sṛṣṭi kare, tārāi kṣatigrasta.","yara allahara sange sudrrha angikara karara para ta bhanga kare evam ye samparka aksunna rakhara nirdesa allaha karechena, ta chinna kare evam prthivite asanti srsti kare, tarai ksatigrasta."
2,28,"tomarā āllāhake kībhāve asvīkāra karacha? athaca tomarā chile mṛta, ataḥpara tini tomāderake jīvanta karechena, āvāra tomādera mṛtyu ghaṭāvena, tārapara āvāra jīvita karavena, tārapara tā~ra dikei tomarā phire yāve.","tomara allahake kibhave asvikara karachay athaca tomara chile mrta, atahpara tini tomaderake jivanta karechena, avara tomadera mrtyu ghatavena, tarapara avara jivita karavena, tarapara ta~ra dikei tomara phire yave."
2,29,"pṛthivīra savakichu tini tomādera janya sṛṣṭi karechena, tārapara tini ākāśera dike manosaṃyoga karena evaṃ tā saptākāśe vinyasta karena, tini sakala viṣaẏe viśeṣabhāve avahita.","prthivira savakichu tini tomadera janya srsti karechena, tarapara tini akasera dike manosamyoga karena evam ta saptakase vinyasta karena, tini sakala visaye visesabhave avahita."
2,30,"smaraṇa kara, tomāra pratipālaka yakhana phereśatāderake valalena, ‘āmi yamīne pratinidhi sṛṣṭi karachi’; tārā valala, ‘āpani ki sekhāne emana kāukeo paẏadā karavena ye aśānti sṛṣṭi karave o raktapāta ghaṭāve? āmarāi to āpanāra praśaṃsāmūlaka tāsavīha pāṭha o pavitratā ghoṣaṇā kari’. tini valalena, ‘āmi yā jāni, tomarā tā jāna nā’.","smarana kara, tomara pratipalaka yakhana pheresataderake valalena, ‘ami yamine pratinidhi srsti karachi’; tara valala, ‘apani ki sekhane emana kaukeo payada karavena ye asanti srsti karave o raktapata ghatavey amarai to apanara prasamsamulaka tasaviha patha o pavitrata ghosana kari’. tini valalena, ‘ami ya jani, tomara ta jana na’."
2,31,"evaṃ tini ādāma (ā.)-ke sakala vastura nāma śikṣā dilena, tārapara segulo phereśatādera sāmane upasthāpana karalena evaṃ valalena, ‘e vastugulora nāma āmāke vale dāo, yadi tomarā satyavādī hao’.","evam tini adama (a.)-ke sakala vastura nama siksa dilena, tarapara segulo pheresatadera samane upasthapana karalena evam valalena, ‘e vastugulora nama amake vale dao, yadi tomara satyavadi hao’."
2,32,"tārā valala, ‘āpani pavitra mahāna, āpani āmāderake yā śikṣā diẏechena, tāchār̤ā āmādera kona jñānai nei, niścaẏai āpani sarvajña o prajñāmaẏa’.","tara valala, ‘apani pavitra mahana, apani amaderake ya siksa diyechena, tachara amadera kona jnanai nei, niscayai apani sarvajna o prajnamaya’."
2,33,"tini nirdeśa karalena, ‘he ādāma! e jinisagulora nāma tāderake jāniẏe dāo’. yakhana se e sakala nāma tāderake vale dila, takhana tini valalena, ‘āmi ki tomāderake valini ye, nabhomanḍala o bhūmanḍalera adṛśya vastu samparke āmi niścitabhāve avahita evaṃ tomarā yā prakāśa kara o gopana kara, āmi tāo avagata’?","tini nirdesa karalena, ‘he adama! e jinisagulora nama taderake janiye dao’. yakhana se e sakala nama taderake vale dila, takhana tini valalena, ‘ami ki tomaderake valini ye, nabhomandala o bhumandalera adrsya vastu samparke ami niscitabhave avahita evam tomara ya prakasa kara o gopana kara, ami tao avagata’y"
2,34,"yakhana āmi phereśatāderake valalāma, ādāmake sājadāha kara, takhana ivalīsa chār̤ā sakalei sājadāha karala, se amānya karala o ahaṅkāra karala, kājei se kāphiradera antarbhukta haẏe gela.","yakhana ami pheresataderake valalama, adamake sajadaha kara, takhana ivalisa chara sakalei sajadaha karala, se amanya karala o ahankara karala, kajei se kaphiradera antarbhukta haye gela."
2,35,"āmi valalāma, ‘he ādāma! tumi o tomāra strī jānnāte vasavāsa kara evaṃ yekhāne yā icche khāo, kintu ei gāchera nikaṭe yeẏo nā, gele tomarā sīmālaṅghanakārīdera madhye śāmila have’.","ami valalama, ‘he adama! tumi o tomara stri jannate vasavasa kara evam yekhane ya icche khao, kintu ei gachera nikate yeyo na, gele tomara simalanghanakaridera madhye samila have’."
2,36,"kintu śaẏatvāna tāttheke tādera padaskhalana ghaṭāla evaṃ tārā du’jana yekhāne chila, tāderake sekhāna theke vera kare dila; āmi valalāma, ‘neme yāo, tomarā paraspara parasparera śatru, duniẏāte kichu kālera janya tomādera vasavāsa o jīvikā āche’.","kintu sayatvana tattheke tadera padaskhalana ghatala evam tara du’jana yekhane chila, taderake sekhana theke vera kare dila; ami valalama, ‘neme yao, tomara paraspara parasparera satru, duniyate kichu kalera janya tomadera vasavasa o jivika ache’."
2,37,"tārapara ādāma (ā.) tāra pratipālakera nikaṭa hate kichu vāṇī prāpta hala, ataḥpara āllāha tāra prati kṣamā pradarśana karalena, tini atyanta kṣamāśīla, parama daẏālu.","tarapara adama (a.) tara pratipalakera nikata hate kichu vani prapta hala, atahpara allaha tara prati ksama pradarsana karalena, tini atyanta ksamasila, parama dayalu."
2,38,"āmi valalāma, ‘tomarā sakalei ekhāna hate neme yāo, pare yakhana āmāra nikaṭa hate tomādera kāche satpathera nirdeśa āsave takhana yārā āmāra satpathera anusaraṇa karave tādera kona bhaẏa nei evaṃ tārā duḥkhitao have nā’.","ami valalama, ‘tomara sakalei ekhana hate neme yao, pare yakhana amara nikata hate tomadera kache satpathera nirdesa asave takhana yara amara satpathera anusarana karave tadera kona bhaya nei evam tara duhkhitao have na’."
2,39,"āra yārā kupharī karave o āmāra nidarśanaguloke asvīkāra karave, tārāi jāhānnāmī; sekhāne tārā cirakāla thākave.","ara yara kuphari karave o amara nidarsanaguloke asvikara karave, tarai jahannami; sekhane tara cirakala thakave."
2,40,"he vānī isarāīla! āmāra sei anugrahake smaraṇa kara, yadvārā āmi tomāderake anugṛhīta karechi evaṃ āmāra saṅge tomādera aṅgīkāra pūrṇa kara, āmio tomādera saṅge āmāra aṅgīkāra pūrṇa karava evaṃ tomarā kevala āmākei bhaẏa kara.","he vani isaraila! amara sei anugrahake smarana kara, yadvara ami tomaderake anugrhita karechi evam amara sange tomadera angikara purna kara, amio tomadera sange amara angikara purna karava evam tomara kevala amakei bhaya kara."
2,41,"āra tomarā īmāna āna sei kitāvera prati, yā tomādera nikaṭa āche tāra pratyaẏanakārī evaṃ tomarāi tāra prathama pratyākhyānakārī haẏo nā evaṃ āmāra āẏātera vinimaẏe sāmānya mūlya grahaṇa karo nā, tomarā kevala āmākei bhaẏa kara.","ara tomara imana ana sei kitavera prati, ya tomadera nikata ache tara pratyayanakari evam tomarai tara prathama pratyakhyanakari hayo na evam amara ayatera vinimaye samanya mulya grahana karo na, tomara kevala amakei bhaya kara."
2,42,tomarā satyake mithyera sāthe miśrita karo nā evaṃ jene śune satya gopana karo nā.,tomara satyake mithyera sathe misrita karo na evam jene sune satya gopana karo na.
2,43,"tomarā nāmāya kāẏima kara, yākāta dāo evaṃ rukū‘kārīdera saṅge rukū‘ kara.","tomara namaya kayima kara, yakata dao evam ruku‘karidera sange ruku‘ kara."
2,44,"tomarā ki mānuṣake satkarmera nirdeśa dive evaṃ nijedera kathā bhule yāve, athaca tomarā kitāva pāṭha kara, tave ki tomarā vujha nā?","tomara ki manusake satkarmera nirdesa dive evam nijedera katha bhule yave, athaca tomara kitava patha kara, tave ki tomara vujha nay"
2,45,"tomarā dhairyya o salātera mādhyame sāhāyya prārthanā kara, āra tā āllāhabhīru vyaktivarga chār̤ā anya sakalera kāche niścitabhāve kaṭhina.","tomara dhairyya o salatera madhyame sahayya prarthana kara, ara ta allahabhiru vyaktivarga chara anya sakalera kache niscitabhave kathina."
2,46,"yārā niścita viśvāsa kare ye, tādera pratipālakera saṅge tādera sākṣāt ghaṭavei evaṃ tā~rai dike tārā phire yāve.","yara niscita visvasa kare ye, tadera pratipalakera sange tadera saksat ghatavei evam ta~rai dike tara phire yave."
2,47,he vānī isarāīla! āmāra sei anugrahake smaraṇa kara yadvārā āmi tomāderake anugṛhīta karechilāma evaṃ pṛthivīte sakalera upare tomāderake śreṣṭhatva diẏechilāma.,he vani isaraila! amara sei anugrahake smarana kara yadvara ami tomaderake anugrhita karechilama evam prthivite sakalera upare tomaderake sresthatva diyechilama.
2,48,tomarā sedinake bhaẏa kara yedina keu kāro upakāre āsave nā evaṃ kārao supāriśa gṛhīta have nā evaṃ kārao nikaṭa theke kṣatipūraṇa grahaṇa karā have nā āra tārā kona rakama sāhāyyao pāve nā.,tomara sedinake bhaya kara yedina keu karo upakare asave na evam karao suparisa grhita have na evam karao nikata theke ksatipurana grahana kara have na ara tara kona rakama sahayyao pave na.
2,49,"smaraṇa kara, āmi yakhana tomāderake pherāuna goṣṭhī hate mukti diẏechilāma, yārā tomādera putra santānake hatyā ka’re āra tomādera nārīderake jīvita rekhe tomāderake marmāntika yātanā dita āra ete tomādera prabhura pakṣa hate chila mahāparīkṣā.","smarana kara, ami yakhana tomaderake pherauna gosthi hate mukti diyechilama, yara tomadera putra santanake hatya ka’re ara tomadera nariderake jivita rekhe tomaderake marmantika yatana dita ara ete tomadera prabhura paksa hate chila mahapariksa."
2,50,"smaraṇa kara, yakhana tomādera janya sāgarake vibhakta karechilāma evaṃ tomāderake uddhāra karechilāma evaṃ pherāuna goṣṭhīke nimajjita karechilāma āra tomarā tā ceẏe ceẏe dekhachile.","smarana kara, yakhana tomadera janya sagarake vibhakta karechilama evam tomaderake uddhara karechilama evam pherauna gosthike nimajjita karechilama ara tomara ta ceye ceye dekhachile."
2,51,"yakhana mūsāra upara calliśa rajanīra oẏā‘dā karechilāma (kitāva pradānera janya), tāra (prasthānera) para tomarā takhana vāchurake upāsyarūpe grahaṇa karechile, vastutaḥ tomarā to chile yālima.","yakhana musara upara callisa rajanira oya‘da karechilama (kitava pradanera janya), tara (prasthanera) para tomara takhana vachurake upasyarupe grahana karechile, vastutah tomara to chile yalima."
2,52,eraparao āmi tomāderake kṣamā karechi yāte tomarā kṛtajñatā prakāśa kara.,eraparao ami tomaderake ksama karechi yate tomara krtajnata prakasa kara.
2,53,"smaraṇa kara, yakhana āmi mūsāke kitāva o phurakāna diẏechilāma, yāte tomarā satpatha avalamvana kara.","smarana kara, yakhana ami musake kitava o phurakana diyechilama, yate tomara satpatha avalamvana kara."
2,54,"smaraṇa kara, mūsā yakhana āpana kaomera lokake valala, ‘he āmāra kaoma! vāchurake upāsyarūpe grahaṇa ka’re tomarā nijedera prati kaṭhina atyācāra karecha, kājei tomarā tomādera sṛṣṭikartāra nikaṭa tāovāha kara evaṃ tomarā nijederake (niraparādhīrā aparādhīderake) hatyā kara, tomādera sraṣṭāra nikaṭa eṭāi śreẏa, ataḥpara tini tomādera prati kṣamā pradarśana karalena, tini atyanta kṣamāśīla, parama daẏālu.’","smarana kara, musa yakhana apana kaomera lokake valala, ‘he amara kaoma! vachurake upasyarupe grahana ka’re tomara nijedera prati kathina atyacara karecha, kajei tomara tomadera srstikartara nikata taovaha kara evam tomara nijederake (niraparadhira aparadhiderake) hatya kara, tomadera srastara nikata etai sreya, atahpara tini tomadera prati ksama pradarsana karalena, tini atyanta ksamasila, parama dayalu.’"
2,55,"smaraṇa kara, yakhana tomarā valechile, ‘he mūsā! āmarā āllāhake sarāsari nā dekhā paryanta tomāke kakṣano viśvāsa karava nā’. takhana vajra tomāderake pākar̤āo karechila āra tomarā nijerāi tā pratyakṣa karachile.","smarana kara, yakhana tomara valechile, ‘he musa! amara allahake sarasari na dekha paryanta tomake kaksano visvasa karava na’. takhana vajra tomaderake pakarao karechila ara tomara nijerai ta pratyaksa karachile."
2,56,"ataḥpara tomādera mṛtyura para āmi tomāderake āvāra jīvita karalāma, yāte tomarā kṛtajñatā prakāśa kara.","atahpara tomadera mrtyura para ami tomaderake avara jivita karalama, yate tomara krtajnata prakasa kara."
2,57,"āmi megha dvārā tomādera upara chāẏā vistāra karalāma, tomādera kāche mānnā o sālaoẏā preraṇa karalāma, (āra valalāma)tomāderake yā dāna karechi tātheke vaidha vastugulo khāo, āra mūlata tārā āmāra prati kona yulama kareni, varaṃ tārā nijedera pratii yulama karechila.","ami megha dvara tomadera upara chaya vistara karalama, tomadera kache manna o salaoya prerana karalama, (ara valalama)tomaderake ya dana karechi tatheke vaidha vastugulo khao, ara mulata tara amara prati kona yulama kareni, varam tara nijedera pratii yulama karechila."
2,58,"smaraṇa kara, yakhana āmi valalāma, e janapade praveśa kara, sekhāne yā icche svacchande āhāra kara, dvāra diẏe nataśire praveśa kara evaṃ vala; ‘kṣamā cāi’. āmi tomādera aparādha kṣamā karava evaṃ satkarmaśīladera prati āmāra dāna vṛddhi karava.","smarana kara, yakhana ami valalama, e janapade pravesa kara, sekhane ya icche svacchande ahara kara, dvara diye natasire pravesa kara evam vala; ‘ksama cai’. ami tomadera aparadha ksama karava evam satkarmasiladera prati amara dana vrddhi karava."
2,59,"kintu yārā atyācāra karechila tārā tāderake yā valā haẏechila tāra parivarte anya kathā valala, kājei yālimadera prati āmi ākāśa hate śāsti preraṇa karalāma, kāraṇa tārā satya tyāga karechila.","kintu yara atyacara karechila tara taderake ya vala hayechila tara parivarte anya katha valala, kajei yalimadera prati ami akasa hate sasti prerana karalama, karana tara satya tyaga karechila."
2,60,"smaraṇa kara, yakhana mūsā (ā.) tāra kaomera janya pāni prārthanā karala, āmi valalāma, ‘tomāra lāṭhi dvārā pāthare āghāta kara’. phale tātheke vāraṭi jharṇā pravāhita hala, pratyeka gotra nija nija pānera jāẏagā cine nila,(valalāma) ‘āllāha pradatta riyka hate tomarā pānāhāra kara evaṃ duṣkṛtikārīra mata pṛthivīte phāsāda sṛṣṭi karo nā’.","smarana kara, yakhana musa (a.) tara kaomera janya pani prarthana karala, ami valalama, ‘tomara lathi dvara pathare aghata kara’. phale tatheke varati jharna pravahita hala, pratyeka gotra nija nija panera jayaga cine nila,(valalama) ‘allaha pradatta riyka hate tomara panahara kara evam duskrtikarira mata prthivite phasada srsti karo na’."
2,61,"smaraṇa kara, yakhana tomarā valechile, ‘he mūsā! āmarā ekai rakama khādye kakṣano dhairya dhāraṇa karava nā, kājei tumi tomāra pratipālakera kāche āmādera janya du‘ā kara, tini yena bhūmi hate utpādita dravya śāka-savji, kā~kar̤a, gama, masura o pe~ẏāja āmādera janya utpādana karena’. mūsā valalaḥ ‘tomarā ki utkṛṣṭa vastuke nikṛṣṭa vastura saṅge vadala karate cāo, tave kona nagare praveśa kara; tomarā yā cāo tā sekhāne āche’ evaṃ tāderake lāñchanā o dāridrera kaśāghāta karā hala o tārā āllāhara kope patita hala. tā ejanya ye, tārā āllāhara nidarśanake asvīkāra karata evaṃ nāvīgaṇake anyāẏabhāve hatyā karata. avādhyatā o sīmālaṅghana karāra janyai tādera e pariṇati haẏechila.","smarana kara, yakhana tomara valechile, ‘he musa! amara ekai rakama khadye kaksano dhairya dharana karava na, kajei tumi tomara pratipalakera kache amadera janya du‘a kara, tini yena bhumi hate utpadita dravya saka-savji, ka~kara, gama, masura o pe~yaja amadera janya utpadana karena’. musa valalah ‘tomara ki utkrsta vastuke nikrsta vastura sange vadala karate cao, tave kona nagare pravesa kara; tomara ya cao ta sekhane ache’ evam taderake lanchana o daridrera kasaghata kara hala o tara allahara kope patita hala. ta ejanya ye, tara allahara nidarsanake asvikara karata evam naviganake anyayabhave hatya karata. avadhyata o simalanghana karara janyai tadera e parinati hayechila."
2,62,"niścaẏa yārā īmāna eneche, yārā iẏāhūdī haẏeche evaṃ khṛṣṭāna o sāviīna- yārāi āllāha o śeṣa divase viśvāsa kare o satkāja kare, tādera janya puraskāra tādera pratipālakera nikaṭa āche, tādera kona bhaẏa nei evaṃ tārā duḥkhita have nā.","niscaya yara imana eneche, yara iyahudi hayeche evam khrstana o saviina- yarai allaha o sesa divase visvasa kare o satkaja kare, tadera janya puraskara tadera pratipalakera nikata ache, tadera kona bhaya nei evam tara duhkhita have na."
2,63,"smaraṇa kara, yakhana tomādera śapatha niẏechilāma evaṃ tūra parvatake tomādera upara tule dharechilāma, valechilāma, 'āmi yā dilāma dṛr̤hatāra sāthe grahaṇa kara evaṃ tāte yā āche tā smaraṇa rekha, yena tomarā sāvadhāna haẏe calate pāra'.","smarana kara, yakhana tomadera sapatha niyechilama evam tura parvatake tomadera upara tule dharechilama, valechilama, 'ami ya dilama drrhatara sathe grahana kara evam tate ya ache ta smarana rekha, yena tomara savadhana haye calate para'."
2,64,erapareo tomarā mukha phiriẏe nile; āllāhara anugraha o anukampā tomādera prati nā thākale tomarā avaśyai kṣatigrastadera paryāẏabhukta haẏe yete.,erapareo tomara mukha phiriye nile; allahara anugraha o anukampa tomadera prati na thakale tomara avasyai ksatigrastadera paryayabhukta haye yete.
2,65,"tomādera madhye yārā śanivāra samparke sīmālaṅghana karechila, tāderake tomarā avaśyai jāna, āmi tāderake valechilāma, ‘tomarā ghṛṇita vānare pariṇata hao’.","tomadera madhye yara sanivara samparke simalanghana karechila, taderake tomara avasyai jana, ami taderake valechilama, ‘tomara ghrnita vanare parinata hao’."
